id,name,style id,abv,ibu
96,Brunette Nut Brown Ale,38,9,87
97,Irish Red,138,2,2
98,Belgian Wit,1,4,44
99,EOS Hefeweizen,50,2,97
100,India Pale Ale,26,10,95
101,Winter Ale,13,11,91
103,Robert the Bruce Scottish Ale,15,3,54
104,Lump of Coal Dark Holiday Stout,42,3,96
105,Warm Welcome Nut Browned Ale,38,7,47
106,Pendle Witches Brew,26,9,12
108,Harvest Ale 2002,13,3,48
109,Woody Organic IPA,31,3,17
110,Adriaan,88,8,16
111,Leute Bok Bier,90,11,92
112,La Folie Falling Rock,20,5,56
113,Oak Aged IPA,174,11,43
114,Tikka Gold,26,4,23
115,La Divine Double Blond,155,8,28
116,La Divine Tripel Amber,118,11,39
117,Ename Tripel,164,7,49
118,Triple Dipsea Belgian,138,12,66
119,Oktoberfest Weizen,92,9,10
120,Imperial Hefeweizen,5,12,24
121,Triple Exultation Old Ale,13,8,46
122,Organic Gingerbread Ale,69,1,28
123,Falcon Pale Ale,26,5,8
124,Buzzsaw Brown,38,1,100
126,Geist Bock,90,1,10
127,Troll Porter,25,4,12
128,Dark Ale,10,6,16
129,Cinder Cone Red,33,5,58
130,LTD 02 Lager,90,1,61
131,Saison Vielle Provision,99,12,24
132,Organic Barley Wine Ale 2005,41,3,12
133,Old Boardhead 2006,120,4,4
134,Blue Dot Double India Pale Ale,32,9,48
135,Nugget,33,3,92
136,American Pale Ale,26,10,46
137,471 Extra ESB,146,10,91
138,Odell Red Ale,33,12,77
139,Long Leg English Fuggles Hop Ale,161,12,53
140,Summer Lightning,86,7,36
141,Haymaker Extra Pale Ale,173,11,83
142,Pale Ale,26,1,10
143,Silk Lady,26,11,96
144,Danger Ale,38,2,88
145,Irish Style Ale,58,3,51
146,Yeti Special Export,95,0,2
147,Steelie Brown Ale,38,8,78
148,Bond Street 19th Anniversary,126,10,53
149,Trumpeter,42,12,71
150,Nitro Porter,25,0,29
151,Fourteen,32,7,26
152,Old Stock Ale 2007,13,3,53
153,Cold Hop,2,0,4
154,Hitachino Nest Espresso Stout,95,10,22
155,Witte,117,7,16
156,Slaapmutske Triple Nightcap,163,9,87
157,Biere de Mars,13,5,66
158,Kerst Pater Special Christmas Beer,126,0,99
159,Zoetzuur Flemish Ale,52,9,70
161,Smoked Hefe,95,8,31
162,The Unforgiven Amber Ale,33,11,15
163,Strange Ghost,8,4,33
164,Duke IPA,31,5,91
165,Broad Axe Stout,42,5,26
166,Northern Light Lager,95,8,93
167,Podge Belgian Imperial Stout,42,6,67
168,Okocim Porter,25,11,90
169,Pineapple Pale,106,9,47
170,Pannepot,8,1,40
171,Samurai,86,11,80
172,Crystal Ale,118,10,12
173,Gavroche French Red Ale,120,0,36
174,Coney Island Lager,168,3,98
179,Beer Geek Breakfast,43,4,82
181,Bock,90,8,76
182,Double India Pale Ale,26,7,49
183,Old Bawdy 2006,168,0,65
184,Extra Strong Vintage Ale,56,9,46
185,Certified Organic India Pale Ale,26,1,63
186,Certified Organic Porter,25,1,79
187,Certified Organic Extra Pale Ale,144,10,6
188,Certified Organic Amber Ale,33,8,50
189,Farm House Ale,155,12,62
190,Beer Town Brown,38,1,85
191,Tanners Jack,79,1,95
192,Mephistopheles Stout,42,3,80
195,Ringwood Brewery Old Thumper Extra Special Ale,40,6,2
196,Export Ale,26,6,34
197,Bourbon Barrel Porter,67,11,11
198,Old Guardian Barley Wine 2007,153,12,17
199,White Christmas,123,3,82
200,Winter,97,7,74
202,Harvest Ale 2006,13,7,53
203,Classic Gueuze,70,0,10
206,Sawtooth Ale,26,2,12
207,Pole Star Pilsner,167,7,75
208,90 Shilling,7,9,90
209,Sunshine Wheat,116,3,21
210,Grand Cru,148,3,99
211,Der Weisse Bock,55,12,4
213,Black Jack Porter,25,5,1
214,Lunar Ale,38,5,85
216,Grotten Flemish Ale,72,12,59
217,Grand Cru,103,0,90
218,Summer Common,15,1,37
219,Golden Ale,120,12,78
220,Ambree,157,3,28
221,Pater 6,60,5,78
222,Blanche de Namur,111,9,84
223,Skinny Dip,37,11,82
224,Blanche Double,174,8,62
225,Summer Bright Ale,22,11,38
226,Mothership Wit,74,11,56
227,Lia Fail Stone of Destiny Ale,70,7,12
228,Premium XB Bluebird Bitter,16,5,5
229,IPA,31,10,67
230,Houblon,96,5,64
231,Double Pilsner,95,11,67
232,Creamy Dark,95,7,91
233,Premium Pils Edelherb,84,4,71
235,Jack of Spades Schwarzbier,86,11,72
236,Shiner Hefeweizen,50,10,42
237,Sapporo Premium Beer,95,6,13
238,Dark German Lager,151,5,6
239,Spring Heat Spiced Wheat,143,11,41
240,Gose,45,3,53
241,Pils,33,6,80
242,New,95,4,41
243,Eisenbahn Defumada,19,0,14
244,Eisenbahn Escura,86,8,43
245,Eisenbahn Dourada,99,4,55
246,Fallen Angel Sweet Stout,42,4,61
247,Hot Shot ESB,5,12,23
248,Porter,25,12,9
252,Eccentric Belgian Wheat,86,0,58
253,Oatmeal Stout,42,11,14
254,Amber Light,95,3,52
255,New World Wheat,95,11,28
256,Maibock,90,10,50
257,Ironwood Dark,38,1,0
258,Cascade Amber,33,7,100
259,Alpine Gold,52,2,83
260,Illuminator Doppelbock,90,9,9
261,Old Princeton Landing IPA,31,2,68
262,Paddle Out Stout,42,3,57
263,Pillar Point Pale Ale,26,0,82
264,Sandy Beach Blonde Hefeweizen,50,4,68
265,Mavericks Amber Ale,33,8,36
266,Harbor Light Ale,105,10,36
267,Leroy Barleywine,86,4,72
268,Oatmeal Stout,42,3,72
269,Amber,33,2,87
270,Blur IPA,31,12,68
271,Pelican Pale,26,6,85
272,Brew Ribbon,95,8,80
273,Casey Jones Imperial IPA,31,0,15
274,Fairfax Coffee Porter,164,6,20
275,Epiphany Ale,33,8,9
276,IPA,31,1,17
277,Chazz Cat Rye,95,3,16
278,Shining Star Pale Ale,26,9,83
279,Honey Bunny Blonde Ale,95,0,91
280,Kent Lake Kolsch,65,1,58
281,Old Blarney Barleywine,92,2,94
282,Irish Dry Stout,42,5,83
283,Kilt Lifter Scottish Ale,15,12,17
284,India Pale Ale,26,8,77
285,Blonde Bock,90,5,54
286,Schwarzbier,86,5,64
287,Czech Lager,134,7,41
288,Yule Tide,61,12,37
289,Pilsner,164,11,51
290,Warka Strong,95,6,20
291,Porter,25,11,83
292,ESB,24,5,19
293,Pale Ale,26,5,30
294,Kristall Weizen,95,6,36
296,Paint the Town Red,33,0,3
297,Golden Ale,90,12,12
298,Train Wreck IPA,31,3,37
299,Zone 7 Porter,25,0,48
300,Pleasanton Pale,26,7,36
301,Island Wheat,95,4,100
302,Hefeweizen,50,8,3
303,Red Ale,147,11,9
304,Penalty Shot Porter,25,7,39
305,India Pale Ale,26,7,90
306,Grid Iron Amber Ale,33,7,36
307,Boys of Summer Wheat,95,12,100
308,Pale Ale,26,6,13
309,Red Ale,33,3,58
310,Hefeweizen,95,11,40
311,Bitter,163,7,29
312,Double IPA,31,7,67
313,Tatonka Stout,43,12,87
315,Jeremiah Red,22,5,63
316,Piranha Pale Ale,26,0,34
317,Harvest Hefeweizen,50,4,30
318,Brewhouse Blonde,40,2,14
319,Nutty Brewnette,38,8,28
321,Belgian Tripel,49,5,66
322,Belgian Abbey,173,1,59
323,Stout,42,2,25
324,Pale Ale,26,11,65
325,Best Bitter,9,5,39
326,Hefe Weizen,50,9,42
327,Pilsner,110,8,74
332,Old Crustacean Barleywine 2006,60,6,64
333,Avalanche Amber,33,9,66
334,Hefe Proper Ale,95,4,23
335,Levity Amber Ale,33,6,34
336,Easy Street Wheat,116,7,13
337,Boulevard Pale Ale,26,0,90
339,Bovine Belgian Winter Ale,116,7,57
340,XX Black Angus Stout,42,9,69
341,Blarney Stone Stout,42,7,48
342,Bison Brown Ale,38,3,79
343,Prairie Pale,26,2,54
344,Wildcat Wheat,95,1,26
345,Boulevard Dry Stout,42,6,10
347,Amber,161,5,47
348,Blanche des Moines,28,1,69
349,Triple Moine,167,4,71
350,Arabier,65,3,70
351,Bos Keun,65,9,48
352,Grand Cru,38,12,48
353,Oerbier,17,12,92
355,Vuuve,145,6,25
356,Gouden Carolus Tripel,110,12,32
357,Gouden Carolus Ambrio 1471,144,1,54
358,Pauwel Kwak,173,6,38
360,Rochefort 10,62,0,69
361,McChouffe,29,10,77
362,471 Double IPA,31,0,34
363,La Chouffe Golden Ale,65,2,4
364,Saison Voisin,72,8,39
365,Olde Expensive Ale,13,4,62
366,Quadrupel,49,9,81
367,Tripel,131,7,68
368,Dubbel,133,2,43
369,Old Growler,25,5,67
370,Urthel Vlaemse Bock,90,3,29
371,Watou Tripel,61,3,19
372,Matilda,106,10,33
374,Imperial Stout,42,8,4
375,EKU 28,90,11,23
376,Eisbock,90,1,1
377,Doppelbock Dunkel,92,1,6
378,Special London Ale,13,2,100
379,Oatmeal Stout,42,4,39
380,Super,66,1,45
381,Wayan,13,3,63
382,GABF 25th Year Beer,5,11,74
383,Old Foghorn 2006,107,1,35
384,Grand Cru 2006,64,11,79
385,Cerveza Negra,42,8,86
386,Cerveza Diablo,95,7,81
387,Cerveza Roja,84,9,6
388,Buffalo Belgian Stout,37,10,48
390,Rader Blonde,175,12,21
391,Toleration,148,6,75
392,English Ale,26,8,86
393,Ripon Jewel Ale,26,11,87
394,XTra,73,3,25
396,Samichlaus Bier 2005,90,1,39
397,Barleywine,35,9,43
398,Old Godfather,152,6,54
401,New Belgium Trippel Belgian Style Ale,61,11,9
402,Hennepin Farmhouse Ale,143,5,18
403,Abbey Belgian Style Ale,60,11,20
404,India Pale Ale,26,12,38
405,Bigfoot 2006,82,2,34
406,Iron Fist Pale Ale,26,4,87
407,Demolition,95,10,58
408,Oro de Calabaza,65,4,11
409,La Roja,33,4,11
410,Brother Thelonious,171,10,7
411,Hop Trip Fresh Hop Pale Ale,26,10,83
412,Organic Belgian Ale,138,11,61
413,Nieuw Ligt Grand Cru 2006,164,8,19
414,Hibernation Ale,13,8,95
415,Wee Heavy Winter Ale,15,10,75
417,Monkey Wrench Dark Ale,25,7,51
418,Old Legover,176,11,27
419,Hercules Double IPA,31,4,77
420,Fresh Hop Pale Ale,26,12,88
421,Twisted Thistle India Pale Ale,26,4,72
422,Espresso Stout,52,6,79
423,Inversion IPA,31,6,9
424,India Pale Ale,26,0,24
425,London Porter,25,4,17
426,Hitachino Nest Celebration Ale 2006,18,5,61
427,Rubia,95,5,11
428,Session Premium Lager,95,7,38
430,La Rossa,90,3,64
431,Blue Paddle Pilsener,77,5,73
432,Lager,95,9,68
433,Hell,77,8,23
434,Pilsner,95,3,4
435,Ungespundet Lager Hefetrub,164,2,21
437,Imperial Porter,25,1,5
438,Amber Ale,33,4,11
439,La Folie,159,6,1
440,Abt 12,62,1,35
441,Nostradamus,85,9,59
442,Triple,127,2,26
443,Ultrabrune,31,5,55
445,Bah Humbug,13,0,53
447,Harvest Ale 2005,13,10,4
448,Moonraker,30,1,37
449,Old Engine Oil,25,6,26
450,Pitchfork Rebellious Bitter,42,3,45
451,Bitter and Twisted,118,12,95
452,India Pale Ale,26,11,38
453,Old Slug Porter,25,8,41
454,Golden Abbot Lager,51,7,84
455,Porter,25,8,30
457,Nightmare,25,3,75
459,Schlenkerla Helles Lagerbier,56,12,12
460,Ondineke Oilsjtersen Tripel,140,2,64
461,Ale Mary,26,3,78
462,Jan de Lichte,28,1,96
463,Bigfoot 2000,98,4,2
464,Rauchbier Lager,50,7,71
465,Bourbon Imperial Stout,169,8,9
466,Witbier,75,0,68
467,Bavarian Bock,90,7,66
468,Heater,33,2,48
469,Harvest Brown,38,10,56
470,Brout,173,9,55
472,Aecht Schlenkerla Rauchbier Weizen,95,4,16
474,Christmas Bock,90,11,28
475,Prior 8,60,7,43
476,Old Man Ale,88,8,13
477,Criminally Bad Elf,28,5,93
478,Very Bad Elf Special Reserve Ale,22,3,21
479,Weisse,50,9,14
483,Wychcraft,82,6,6
484,Double Bastard Ale,26,1,85
485,Rochefort 6,29,1,90
486,Guldenberg,66,1,17
487,Westmalle Trappist Tripel,61,10,85
489,Cow Palace Scotch Ale,15,11,4
491,Abtskelder Tripel,115,7,72
493,Curator Dunkler Doppelbock,90,4,12
494,Kloster Dunkel,138,5,77
496,Teton Ale,33,12,99
497,Pilsener,141,12,11
498,Nickelbier,90,9,62
501,Zwickelbier,19,9,52
502,Pils,106,11,15
503,Spezial,15,1,12
505,Schwarzbier,86,1,1
506,Pils,86,5,77
508,Schwarze,86,1,98
509,Blonde,88,11,23
511,Spezial,123,2,63
512,Pils,75,12,27
513,Coronator Helle Doppelbock,90,8,52
515,Kellerpils,11,10,38
516,Pils,137,9,26
517,Kronenbier,22,1,50
518,Dunkles Weissbier,32,6,74
519,Festbier,84,6,28
520,Dunkles Lager,74,11,55
521,Weizen,50,10,81
524,Altbairisch Dunkel,34,0,11
525,Pickled Santa,155,1,22
526,Manchester Star Ale,13,5,90
527,Moinette Brune,38,3,2
528,Chocolat,105,6,28
533,Dark White,126,12,49
534,Festive Ale 2006,46,4,69
535,Green Valley Stone Mill Pale Ale,26,2,16
536,Green Valley Wild Hop Lager,95,7,60
538,Herbstbier,86,5,82
539,Altbier,38,3,34
540,Huusbier,148,1,52
541,Leermond Bier,169,9,20
543,Huusbier Schwarz,25,5,9
544,Oktoberfest,55,12,65
545,Weizentrumpf,50,11,20
546,Honey Brown Ale,95,6,99
547,Huusbier Hell,129,3,69
549,Gambrinus,139,10,86
551,Stout,42,6,61
552,Weizen,50,2,0
553,Spezial,166,2,45
554,Naturtrubes,86,11,15
556,Maisbier,171,2,82
557,Weizenbier,50,4,69
558,Dunkel,53,8,5
559,Hell,176,6,69
560,Spezial,136,12,1
564,Hanf,174,0,16
565,Dunkel,16,2,30
566,Hell,87,6,46
567,Blond,10,1,69
568,Dunkle Weisse,92,0,94
573,Edelweiss,50,12,26
575,Hofgutsbier,33,4,31
577,Hefeweizen,50,2,4
578,Spezial,95,3,92
579,Kellerpils,18,11,23
580,Sanwald Dunkelweizen,15,5,82
582,Hecker Dunkel,162,5,11
583,Kristall Weizen,114,6,75
584,Hefe Weizen Dunkel,162,0,28
585,Schimmele Hefe Pils,97,3,38
586,Hefe Weizen Hell,50,1,30
589,Herbstbeer,84,0,79
590,Weizen,50,7,49
591,Kupfer,95,4,26
592,Messing,7,8,52
593,Saison,155,7,79
594,Duinen Dubbel,94,4,7
596,Red Racer India Pale Ale,31,7,89
597,Steelhead Stout,42,12,99
598,Iceberg Copper Bock,90,9,80
599,Boomers Red Ale,53,9,78
600,Springboard Lager,95,3,60
601,Light Lager,95,3,95
602,Old Sullivan Porter,25,5,43
604,Clover Pale Ale,26,7,19
605,Lager,95,1,47
606,Red Truck Ale,33,5,39
607,Dry Stout,42,5,66
608,Extra Special Bitter,99,11,47
609,Nut Brown Ale,38,10,10
610,Pale Ale,26,4,95
611,Vienna Lager,95,1,63
612,Pilsner,53,3,68
613,Blonde Ale,148,6,77
614,Cream Ale,10,2,96
615,Blonde Ale,68,10,50
616,Special Lager,95,0,55
617,Pale Ale,26,2,27
618,Pale Ale,26,0,37
619,Beacon India Pale Ale,26,0,43
620,Traditional India Pale Ale,26,9,20
621,Mad Scow Stout,42,8,23
622,Red Truck Ale,33,4,48
623,Two Lions Pale Ale,26,5,39
624,Baden Powell Cream Ale,95,0,74
625,Dominion Lager,95,6,85
626,Yippee IPA,31,1,43
627,Downtown Brown,38,12,24
628,Tropical Lager,95,11,79
629,Honey Brown,95,2,87
630,IPA,31,6,77
631,Game Day,47,2,75
632,Red Truck Ale,33,3,64
633,Red Truck Lager,25,1,56
634,Pale Ale,26,11,43
635,Premium Gold,95,4,46
636,India Pale Ale,26,11,37
637,Oatmeal Stout,42,2,54
638,Cream Ale,95,1,33
639,Blonde Draft,32,1,60
640,Hefeweizen,50,0,27
641,Island Lager,95,6,56
642,English Bay Pale Ale,26,8,18
643,Kitsilano Maple Cream Ale,95,12,49
644,Cypress Honey Lager,95,4,52
645,Pelican Bay Brown,38,11,86
646,Marina Light Lager,61,10,53
647,Haupenthal Hefeweizen,50,4,67
648,Old Bridge Dark Lager,95,1,76
649,Johnston Pilsener,68,2,48
650,Cartwright Pale Ale,26,6,10
651,Hungarian HopLager,21,12,95
653,Hopluia,26,9,57
654,Czech Premium Lager,10,2,93
655,Bobby,134,12,17
656,1916 Irish Stout,42,2,31
658,Wilsteraner Altbier,38,8,20
660,Dark Lager,51,10,26
661,Lager Beer,124,5,0
662,Premium Light Lager Beer,95,2,38
663,Trademark English Pale,26,3,39
664,Jolly Roger,35,4,69
665,Firkin IPA,31,10,98
666,Portage Bay Pilsener,176,9,70
667,Old Seattle Lager,95,8,61
668,Nightwatch Dark Ale,25,12,73
669,Islander Pale Ale,26,8,87
671,Clipper Gold Hefeweizen,95,10,100
672,Flagship Red Alt Ale,33,12,59
673,Slam Dunkelweizen,128,4,51
674,Trombipulator,59,1,88
675,Faux Paddy Irish Ale,43,0,13
676,Black Mulligan Dublin Stout,42,9,89
677,Coal Creek Porter,25,0,82
678,Atlas Amber Ale,33,6,40
679,Prime Time Pale Ale,26,6,12
680,Snow Melt Nitrogen Pale,26,3,77
681,Old Rip Oatmeal Stout,42,2,54
682,Scarlet Fire IPA,31,3,55
683,The Immortal IPA,31,9,5
684,Whoville Weizenbock,55,1,68
685,Warminster Special Bitter,58,11,29
687,Foster Child Australian Lager,95,2,80
688,Avatar Jasmine IPA,158,7,51
690,Elysian Fields Pale Ale,26,8,32
691,Loki,174,5,41
692,Zephyrus Pilsner,100,2,66
693,Perseus Porter,25,9,35
694,The Wise ESB,5,12,94
695,Ambrosia Maibock,90,6,15
697,Auld Acquaintance Spiced Ale,42,5,3
698,India Pale Ale,26,12,55
699,Oatmeal Stout,42,5,3
700,Kilt Lifter Scotch Ale,15,4,20
701,Pale Ale,26,6,9
702,Weisse,95,4,32
703,Imperial Stout,42,1,46
705,India Pale Ale,26,11,91
707,Bock,90,8,59
708,Weissbier,95,11,3
709,Saison,156,10,86
710,Pilsner,176,4,79
711,Nebraska Bitter,3,2,68
712,Irish Stout,42,8,79
714,Wheat Beer,95,2,80
715,Golden,75,8,95
716,Porter,25,0,27
717,Terminator Stout,42,12,21
718,India Pale Ale,26,7,31
719,Hammerhead Ale,26,11,87
720,Icebreaker Barley Wine,127,11,85
721,Industrial IPA,32,0,80
722,IPA,31,4,31
723,Possession Porter,25,0,90
724,Steamer Glide Stout,42,1,71
726,Brown Ale,38,9,29
727,Golden Ale,105,4,87
729,Lighthouse Ale,26,12,52
730,Golden,97,3,16
731,Gale Force IPA,31,7,49
732,Porter,25,2,27
733,Nut Brown,38,2,21
734,Amber Ale,38,0,92
735,Hefe Weizen,95,5,100
736,Maibock,90,9,11
737,Sequoia Red,33,0,95
738,Homeport Blonde,79,6,1
739,Skibbereen Stout,42,9,6
740,Red Card Lager,64,12,15
741,Navidad,33,10,53
742,Free Bike Amber,33,3,6
743,Highwater Porter,25,10,62
744,Skagit Brown Ale,38,10,76
745,Yellowjacket Pale Ale,26,10,62
746,Dutch Girl Lager,40,10,70
747,Del Rio Lager,95,10,88
748,Barleywine,59,7,83
749,Imperial Pale,26,9,12
750,Spring Bock,90,5,62
751,Irish Stout,42,2,50
752,India Pale Ale,26,0,73
753,Porter,25,7,74
754,Firehouse Red,33,1,89
755,Tacoma Brew,15,4,37
756,Hefeweizen,50,11,16
757,Belgian White,6,4,36
758,Poseidon Imperial Stout,42,7,91
759,Thornton Creel Ale,53,8,69
760,Blonde Ale,163,7,55
761,Light,142,1,64
762,WinterFish Ale,26,12,76
763,Mudshark Porter,25,3,5
764,Organic India Pale Ale,31,10,18
765,Wild Salmon Pale Ale,26,12,72
766,Organic Amber Ale,33,6,12
767,Blind Pig Dunkelweizen,95,0,16
768,Whistling Pig Hefeweizen,95,0,95
769,Snow Cap,13,7,23
770,DPA,26,11,78
771,Krystal Weizen,95,0,93
772,Thunder Head IPA,31,3,48
773,Amber Weizen,95,5,45
774,Hefeweizen,95,0,49
775,Curve Ball,9,4,62
776,Bourbon Barrel Stout,86,1,31
777,Oak Stout,34,4,74
778,Two Frog Dubbel,79,7,80
779,Farm Frog,39,1,43
780,Frosty Frog,26,10,6
781,Dry Hopped IPA,31,1,67
782,No Doubt Stout,42,1,10
783,Riot Ale,26,3,88
784,IPA,31,6,47
785,Alembic Pale,26,9,53
786,Luna Weizen,95,2,51
787,Castaway Barley Wine Winter Ale,150,1,15
788,Blacktop Porter,25,2,4
789,Puget Porter,25,0,34
790,Rat City IPA,31,11,28
791,Fauntleroy Stout,42,2,22
792,Alki Ale,26,7,0
793,Vashon Old Stock Ale,131,0,36
794,Admiral ESB,174,7,55
795,Driftwood Ale,26,12,92
796,Kataja Olut IVB,122,7,47
797,Cream Stout,42,2,91
798,Leviathan 2004,157,8,81
799,MoJo India Pale Ale,31,3,34
800,Old Woody 2005,13,0,18
801,Weisse,119,4,61
803,Super Natural Oatmeal Stout,42,0,78
805,Andelot Cuvee Diabolique,148,4,34
806,Lozen Boer Abt,156,1,63
807,Imperial Gold Malt Liquor,95,6,37
808,Double Daddy,26,7,51
809,Old Crustacean Barleywine 2005,19,7,55
810,Fred,106,4,35
811,Wee Heavy,15,0,97
812,Porter,25,12,25
813,Horn Dog,35,12,77
814,Nut Brown Ale,38,4,12
815,Chaser Pale,149,2,33
816,Trappist Extra,119,9,99
817,Brune,99,11,36
818,Olde School Barleywine,35,3,43
820,Double Diamond Winter,147,5,64
821,Stone IPA,31,4,54
822,Scaldis Prestige,75,1,78
824,Red Menace Big Amber,33,3,8
825,Blonde,130,1,26
827,Pils,33,1,32
829,Xingu,86,9,84
830,Slip Knot Imperial IPA 2006,31,4,11
831,Bottleworks IPA,31,0,87
832,Old Rasputin Russian Imperial Stout,43,10,58
833,Yeti Imperial Stout,43,4,98
836,Poperings Hommel Ale,26,3,31
837,Smoked Rye Bock,95,4,55
838,Russian Imperial Stout,42,8,61
839,Jenlain St Druon de Sebourg,9,10,100
840,Les Sans Culottes,34,2,58
841,Bruocsella 1900 Grand Cru,70,5,56
843,Princess of Darkness Porter,25,2,2
844,Impromptu Pale Ale,26,5,73
845,Steinworthy Oktoberfest,84,4,39
847,Bugeater Brown Ale,38,3,64
848,Tin Lizzie Hefeweizen,50,10,60
850,Heavenly Helles,6,5,19
851,Orval Trappist Ale,72,6,92
853,Rochefort 8,148,5,57
854,Satan Red,17,4,87
855,Entire Stout,42,6,81
856,Ivanhoe,26,9,36
857,XX Bitter,83,5,72
858,Moza,90,7,23
859,Negra,86,4,57
860,Stout,42,4,68
861,Porter,25,11,46
862,Oktoberfest,84,9,46
863,Tip Top Pale Ale,26,9,68
864,DoppelSticke,90,8,73
865,Sticke,38,10,20
866,Alt,38,10,86
867,Hitachino Nest Japanese Classic Ale,2,2,53
868,9th Anniversary IPA,31,9,23
869,Adam,13,11,91
870,Rose,144,2,86
872,Urthel Samaranth Quadrium Ale,49,6,84
873,Andelot Mystique,58,4,82
874,Andelot Angelique,80,7,80
875,Andelot Euphorique,52,5,63
876,Terrible,72,6,54
877,Deus Brut des Flandres,150,8,14
878,Kentucky Ale,26,0,38
879,5 Barrel Pale Ale,1,11,98
880,Spruce Ale,67,9,41
882,Avec Les Bons Voeux,102,11,84
883,Blonde,72,4,85
884,Oatmeal Cream Stout,42,4,2
885,Augustinian Ale,24,5,22
886,Butty Bach,49,8,93
887,Pale Ale,26,11,91
888,De Horste Vermeer Traditional Dutch Ale,10,8,7
889,Troublette,47,8,68
890,Blonde Tradition,40,3,77
892,Yeti,95,9,70
894,Pere Jacques,57,8,89
895,1784 Anniversary Beer,140,11,18
896,Baltas Alus,50,9,24
897,El Jefe Weizen Ale,50,2,73
898,Hefeweizen,95,5,45
899,Dancing Trout Ale,103,6,50
900,Untouchable Pale Ale,26,9,84
901,X Extra Pale Ale,26,1,75
902,Chehalem Mountain IPA,31,9,2
903,Moylander Double IPA,32,2,17
904,Indica India Pale Ale,26,11,46
905,Vichtenaar,84,6,86
906,Zatte Amsterdamse Tripel,43,0,68
907,Old Stock Ale 2004,13,4,67
908,Old Ruffian,35,10,18
909,Talon,150,2,1
914,Neuschwansteiner Bavarian Lager,58,8,31
915,Wooly Bully,84,5,19
916,Mongoose IPA,31,3,35
917,Big Daddy IPA,31,10,96
918,Titan IPA,31,6,23
923,Speedway Stout,43,0,52
924,Cream Stout,42,8,46
925,Grand Cru,174,11,30
927,Quail Springs IPA,31,10,50
928,IPA,31,8,76
929,Cambonator Doppelbock,90,3,32
930,Best Bitter,35,10,46
932,Oak Aged Yeti Imperial Stout,43,4,63
933,Riverboat Rye,68,7,94
