id,name,address,city,state,code,country,phone,website
35,Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts,1002,United States,413-253-4400,http://www.amherstbrewing.com/
36,"Amicas Pizza, Microbrews and More",136 East Second Street,Salida,Colorado,81201,United States,1-719-539-5219,
37,Amstel Brouwerij,Antwoordnummer 7181,Amsterdam,,,Netherlands,800-022-9885,http://www.amstel.com
38,Anacortes Brewing,320 Commercial Avenue,Anacortes,Washington,98221,United States,360-588-1720,http://www.anacortesrockfish.com/
39,Anchor Brewing,1705 Mariposa Street,San Francisco,California,94107,United States,1-415-863-8350,
40,Andechser Klosterbrauerei,Bergstrae 2,Andechs,Bayern,,Germany,49-(0)8152-/-376-0,
41,Anderson Valley Brewing,17700 Boonville Rd,Boonville,California,95415,United States,1-800-207-2337,http://avbc.com/
42,Andrew's Brewing,,Lincolnville,Maine,4849,United States,(207) 763-3305,
43,Angelic Brewing,,Madison,Wisconsin,53703,United States,1-608-257-2707,
44,Anheuser-Busch,One Busch Place,Saint Louis,Missouri,63118,United States,1-800-342-5283,http://www.anheuser-busch.com/
45,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania,17110,United States,717.221.1080,http://www.abcbrew.com
46,Appleton Brewing,,Appleton,Wisconsin,,United States,,
47,Arcadia Brewing,103 West Michigan Avenue,Battle Creek,Michigan,49017,United States,1-269-963-9690,http://www.arcadiaales.com/
48,Arcobrau Grafliches Brauhaus,Schlossalle 1,Moos,Baden-Wurttemberg,94554,Germany,09938 / 918 180,http://www.arcobraeu.de
49,Arthur Guinness & Son,St. James's Gate,Dublin,,,Ireland,,http://www.guinness.com
50,Asahi Breweries,23-1 Azumabashi 1-chome,Tokyo,Kanto,,Japan,81-(03)-5608-5129,
51,Asheville Pizza and Brewing Co.,675 Merrimon Avenue,Asheville,North Carolina,28804,United States,(828) 254-1281,http://www.ashevillepizza.com/
52,ateck Pivovar,ikovo nmst 81,atec,,,Czech Republic,420-415-710-781,
53,Athenian Brewery,102 Kifissou Avenue,Athens,,0,Greece,30-210-5384911,
54,Atlanta Brewing Company,2323 Defoor Hills Rd NW,Atlanta,Georgia,30318,United States,404-355-5558,http://www.atlantabrewing.com/
55,Atlantic Brewing Company,15 Knox Rd.,Bar Harbor,Maine,4609,United States,207-288-BEER,http://www.atlanticbrewing.com
56,Atwater Block Brewing,237 Joseph Campau Street,Detroit,Michigan,48207,United States,1-313-877-9205,http://www.atwaterbeer.com
57,August Schell Brewing,1860 Schell Road,New Ulm,Minnesota,56073,United States,800-770-5020,http://www.schellsbrewery.com/
59,Augusta Brewing,5221 Water Street,Augusta,Missouri,63332,United States,1-636-482-2337,
240,Brew Makers,,Mountain View,California,,United States,,
60,Augustiner-BrÃƒÂ¤u MÃƒÂ¼nchen,Landsberger Strae 35,MÃƒÂ¼nchen,Bayern,,Germany,49-(0)89-/-519940,http://www.augustiner-braeu.de
61,Australian Brewing Corporation,229-255 Old Melbourne Road,Little River,Victoria,3211,Australia,+61 (03) 5283 1161,http://www.australianbrewingcorporation.com/
62,Avery Brewing Company,5763 Arapahoe Avenue,Boulder,Colorado,80303,United States,1-877-844-5679,http://www.averybrewing.com/
63,Back Road Brewery,310 Perry Street,LaPorte,Indiana,46350,United States,1-219-362-7623,http://www.backroadbrewery.com/
64,Backcountry Brewery,720 Main Street,Frisco,Colorado,80443,United States,1-970-668-2337,
65,Backwater Brewing,1429 West Service Drive,Winona,Minnesota,55987,United States,1-507-452-2103,
66,Bad Frog Brewery Company,,Rose City,Michigan,,United States,,
67,Ball- und Brauhaus Watzke,KÃƒÂ¶tzschenbroder Str. 1,Dresden,Sachsen,1139,Germany,,http://www.watzke.de
68,Ballast Point Brewing,5401 Linda Vista Road #406,San Diego,California,92110,United States,1-800-581-2739,http://www.ballastpoint.com/
69,Baltimore-Washington Beer Works,P.O. Box 9829,Baltimore,Maryland,21284,United States,410.321.1892,http://www.ravenbeer.com/home.html
70,Bamberger Mahr's-Bru,Wunderburg 10,Bamberg,Bayern,,Germany,49-(0)951-/-91517-0,
71,Bandana Brewery,,Mankato,Minnesota,,United States,,
72,Bar Harbor Brewing Company,8 Mt. Desert Street,Bar Harbor,Maine,4609,United States,(207) 288-4592,http://www.barharborbrewing.com/
73,Bard's Tale Beer Company,211 NW Ward Road,Lee's Summit,Missouri,,United States,,
74,Barfer - das kleine Brauhaus,Lautenberg 1,Ulm,Baden-Wrttemberg,,Germany,49-(0)731-/-6021110,
75,Barley Brothers Brewery and Grill,1425 McCulloch Boulevard,Lake Havasu City,Arizona,86403,United States,1-928-505-7837,
76,Barley Creek Brewing,RR 1 Box 185,Tannersville,Pennsylvania,18372,United States,1-570-629-9399,http://www.barleycreek.com/
77,Barley Island Brewing,639 Conner Street,Noblesville,Indiana,46060,United States,1-317-770-5280,
78,Barley John's Brewpub,781 Old Highway 8 SW,New Brighton,Minnesota,55112,United States,1-651-636-4670,
79,Barley's #2 Smokehouse and Brewpub,1130 Dublin Road,Columbus,Ohio,43215,United States,1-614-485-0227,
80,Barley's Brewing #1,467 North High Street,Columbus,Ohio,43215,United States,1-614-228-2537,
81,Barley's Casino & Brewing Company,4500 East Sunset Road #30,Henderson,Nevada,89014,United States,1-702-458-2739,
82,Baron Brewing Company,1605 S 93rd Building E Unit L,Seattle,Washington,98108,United States,206.764.1213,http://www.baronbeer.com/
83,Barrel House Brewing Co.,544B W. Liberty St.,Cincinnati,Ohio,45214,United States,513-421-2337,http://www.barrelhouse.com
84,Basil T's Brew Pub and Italian Grill,1171 Hooper Avenue,Toms River,New Jersey,8753,United States,1-732-244-7566,
85,Bass Brewers,137 High Street,Burton-upon-Trent,Staffordshire,,United Kingdom,44-(01283)-513347,
86,Bavaria,,Barranquilla,,,Colombia,,http://www.bavaria.com.co
87,Bavarian Barbarian Brewing Company,429 W. 3rd St,Williamsport,Pennsylvania,17701,United States,570.332.5050,http://www.bavarianbarbarian.com
88,Bayerische Staatsbrauerei Weihenstephan,Alte Akademie 2,Freising,Bayern,,Germany,49-(0)8161-/-536-0,
89,Bayern Brewing,1507 Montana Street,Missoula,Montana,59801,United States,1-406-721-1482,
90,"BBC Brewing Co., LLC",636 East Main Street,Louisville,Kentucky,40202,United States,1-502-584-2739,http://www.bluegrassbrew.com
91,Beach Brewing,,Orlando,Florida,,United States,,
92,Beach Chalet Brewery,1000 Great Highway,San Francisco,California,94121,United States,1-415-386-8439,
93,Beamish & Crawford,South Main Street,Cork,,,Ireland,353-21-911100,
94,Bear Republic Brewery,345 Healdsburg Avenue,Healdsburg,California,95448,United States,1-707-433-2337,http://www.bearrepublic.com/
95,Beck's,,,,,Germany,,http://www.becks.de/
96,Beermann's Beerwerks BrewPub,,Lincoln,California,,United States,,
97,Belfast Bay Brewing Company,100 Searsport Avenue,Belfast,Maine,4915,United States,207-338-4216,http://www.belfastbaybrewing.com/
98,Belhaven Brewery,Spott Road,East Lothian,Scotland,,United Kingdom,44-(0)1368-862734,
99,Belize Brewing,PO Box 1068,Belize City,,,Belize,,
100,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan,49053,United States,269.382.2338,http://www.bellsbeer.com/
101,Bellows Brew Crew,,Watertown,Wisconsin,,United States,,
102,Bent River Brewing,1413 Fifth Avenue,Moline,Illinois,61265,United States,1-309-797-2722,
103,Berliner Kindl Brauerei AG,Werbellinstrasse 50,Berlin,Berlin,,Germany,49-(0)30-/-68992-0,
104,Berliner-Kindl-Schultheiss-Brauerei,Indira-Ghandi-Strae 66-69,Berlin,Berlin,,Germany,49-(0)30-/-9609-0,
105,Bersaglier,Calle 92 NÃ¯Â¿Â½ 101,San Martin,Buenos Aires,1650,Argentina,(54)-011-4713-6557,http://www.bersaglier.com.ar/
106,Bethlehem Brew Works,569 Main St,Bethlehem,Pennsylvania,18018,United States,610.882.1300,http://www.thebrewworks.com/bethlehem-brew-works
107,Bibiana Brewing,,Urbana,Illinois,,United States,,
108,Biddy Early Brewery,Inagh,Ennis,,,Ireland,353-065-6836742,
109,Bierbrouwerij Bavaria,Burg. van den Heuvelstraat 35,Lieshout,,0,Netherlands,31-0499-428111,
110,Bierbrouwerij De Koningshoeven,Eindhovenseweg 3,Berkel-Enschot,,,Netherlands,31-013-5358147,http://www.latrappe.nl/
111,Bierbrouwerij St.Christoffel,Metaalweg 10,Roermond,,,Netherlands,31-71.51.56.085,http://www.christoffelbeer.com
112,Big Bang Brewery (Closed),650 Fifth Street #403,San Francisco,California,94107,United States,,
113,Big Boss Brewing Company,1249-A Wicker Drive,Raleigh,North Carolina,27604,United States,919-834-0045,http://www.bigbossbrewing.com
114,Big Buck Brewery,550 South Wisconsin Avenue,Gaylord,Michigan,49735,United States,,http://www.bigbuck.com/gaylord.html
115,Big Buck Brewery and Steakhouse #2,,Grand Rapids,Michigan,,United States,,
116,Big Dog's Brewing Company,4543 North Rancho Road,Las Vegas,Nevada,89130,United States,1-702-645-1404,
117,Big Hole Brewing,401 East Main Street,Belgrade,Montana,59714,United States,1-800-793-6656,
118,Big Horn Brewing @ The RAM 2,700 North Milwaukee Avenue,Wheeling,Illinois,60090,United States,1-847-520-1222,
119,Big Ridge Brewing,15133 Highway 10,Surrey,British Columbia,0,Canada,1-604-574-2739,
120,Big River Brewing,180 - 14200 Entertainment Boulevard,Richmond,British Columbia,0,Canada,1-604-271-2739,
121,Big Rock Brewery,5555 76th Avenue SE,Calgary,Alberta,0,Canada,1-403-720-3239,
122,Big Sky Brewing,5417 Trumpeter Way,Missoula,Montana,59808,United States,1-800-559-2774,
123,Big Time Brewing,4133 University Way NE,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/
124,Bill's Tavern & Brewhouse,188 North Hemlock,Cannon Beach,Oregon,97110,United States,1-503-436-2202,
125,Binding Brauerei AG,Darmstdter Landstrae 185,Frankfurt am Main,Hessen,,Germany,49-(0)69-/-60650,
126,Birra Forst,"Via Val Venosta, 8",Lagundo / Algund,,0,Italy,39-0473-260111,
127,Birra Moretti,Viale Venezia 9,Udine,,,Italy,39-800-1859.00,
128,Birrificia Le Baladin,"Piazza V Luglio, 15",Piozzo,,0,Italy,39-0173-795431,
129,Birrificio Torrechiara,Strada Pilastro 35,Torrechiara,,,Italy,39-0521355113,
130,Bison Brewing,2598 Telegraph Avenue,Berkeley,California,94704,United States,1-510-841-7734,
131,Bitburger Brauerei,RÃƒÂ¶mermauer 3,Bitburg,Rheinland-Pfalz,,Germany,49-(0)6561-/-14-0,
132,"BJ's Pizza, Grill, and Brewery - Jantzen Beach",12105 North Center Avenue,Portland,Oregon,97217,United States,1-503-289-5566,
133,BJ's Restaurant and Brewery,600 Brea Mall,Brea,California,,United States,714-990-2095,http://www.bjsrestaurants.com/beer.aspx
134,Black Sheep Brewery,Wellgarth,Ripon,North Yorkshire,,United Kingdom,44-(01765)-689227,
135,Black Toad Brewing Company,Chicago IL 60612,Chicago,Illinois,,United States,,
136,Blacksburg Brewing Company,P.O. Box 315,Blacksburg,Virginia,24063,United States,,http://www.blacksburgbrewing.com/
137,Blackstone Restaurant & Brewery,1918 West End Avenue,Nashville,Tennessee,37203,United States,1-615-327-9969,
138,Blicks Brewing,,Colorado Springs,Colorado,,United States,,
139,Blitz-Weinhard Brewing,Portland OR 97209,Portland,Oregon,,United States,,
140,Bloomington Brewing Company,"1795 E 10th St,",Bloomington,Indiana,47402,United States,812.323-2112,http://bbc.bloomington.com
141,BluCreek Brewing Company,2605 South Stoughton Road,Madison,Wisconsin,53716,United States,1-608-204-0868,
142,Blue Cat Brew Pub,113 18th Street,Rock Island,Illinois,61201,United States,1-309-788-8247,
143,Blue Corn Caf and Brewery - Albuquerque,,Albuquerque,New Mexico,,United States,,
144,Blue Point Brewing,161 River Avenue,Patchogue,New York,11772,United States,1-631-475-6944,http://www.bluepointbrewing.com/
145,Blue Ridge Brewing,217 North Main Street,Greenville,South Carolina,29601,United States,1-864-232-4677,http://www.blueridgebrewing.com/
146,"Bluegrass Brewing Company, Inc.",3929 Shelbyville Rd.,Louisville,Kentucky,40207,United States,502-899-7070,http://www.bbcbrew.com
147,Bobcat Cafe & Brewery,4 Main Street,Bristol,Vermont,5443,United States,(802) 453-3311,http://www.bobcatcafe.com/
148,Boddington's Brewery,,Manchester,Manchester,,United Kingdom,,
149,Boiler Room Brewpub,2100 Casino Drive,Laughlin,Nevada,89029,United States,1-702-298-4000,
150,Bonaventure Brewing Co,404 South Figueroa Street #418,Los Angeles,California,90071,United States,(213) 236-0802,http://www.bonaventurebrewing.com/
151,Bonfire Brewery,,Northville,Michigan,,United States,,
152,Boon Rawd Brewery,999 Samsen Road,Bangkok,,,Thailand,66-(662)-669-2050,
153,Bootleggers Steakhouse and Brewery,,Bakersfield,California,,United States,,
154,Borsodi SÃƒÂ¶rgyÃƒÂ¡r,,BÃƒÂ¶cs,,,Hungary,,http://www.borsodisorgyar.hu/
155,Boscos Memphis Brewing,,Germantown,Tennessee,,United States,,
156,BOSS Browar Witnica S.A.,Ul. Marii Konopnickiej 1,Witnica,,,Poland,48-(95)-751-51-14,http://www.browar-witnica.pl/
157,Boston Beer Company,30 Germania Street,Boston,Massachusetts,2130,United States,1-800-372-1131,http://www.samueladams.com/
158,Boston Beer Works,61 Brookline Avenue,Boston,Massachusetts,2215,United States,1-617-536-2337,
159,Bottom's Up Brewing,402 West Pine Street,Pinedale,Wyoming,82941,United States,1-307-367-2337,
160,Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado,80301,United States,1-303-444-8448,http://boulderbeer.com/
161,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri,64108,United States,1-816-474-7095,http://www.blvdbeer.com/
162,Boundary Bay Brewery and Bistro,1107 Railroad Avenue,Bellingham,Washington,98227,United States,1-360-647-5593,
163,Brasal-Brasserie Allemande,,LaSalle,Quebec,,Canada,,
164,Brasserie Artisanale de Rulles,Rue Maurice Grevisse 36,Habay-Rulles,Luxembourg,,Belgium,32-(0)63-41-18-38,
165,Brasserie Bnifontaine,"13, rue Pasteur",Bnifontaine,,,France,33-03.21.08.68.68,
166,Brasserie Clarysse,Krekelput 16-18,Oudenaarde,Oost-Vlaanderen,,Belgium,32-055-31-17-21,
167,Brasserie D'Achouffe,Rue du Village 32,Houffalize-Achouffe,Luxembourg,,Belgium,32-061-28-81-47,
168,Brasserie d'Ecaussinnes,"rue Restaumont, 118",Ecaussinnes,Hainaut,,Belgium,32-067-/-34-22-77,
169,Brasserie d'Orval,Abbaye de Notre-Dame d'Orval,Villers-devant-Orval,Luxembourg,,Belgium,32-061-31-12-61,
170,Brasserie de Blaugies,"Rue de la Frontire, 435",Blaugies,Hainaut,,Belgium,32-065-65-03-60,
171,Brasserie de Brunehaut,Rue de Panneries 17,Brunehaut,Hainaut,7623,Belgium,32-069-34-64-11,http://www.brunehaut.com/
172,Brasserie de Cazeau,,,,,Belgium,,
173,Brasserie de l'Abbaye de Scourmont (Trappistes),Route de Rond Point 294,Chimay-Forges,Hainaut,,Belgium,32-060-21-30-63,
174,Brasserie De L'Abbaye Des Rocs,Chausse Brunehault 37,Montignies-sur-Roc,Hainaut,,Belgium,32-065-75-59-99,
175,Brasserie de l'Abbaye Val-Dieu,Val Dieu 225,Aubel,Lige,,Belgium,32-087-68-75-87,
176,Brasserie de la Senne,Victor Nonnemansstraat 40a,Sint-Pieters-Leeuw,Vlaams Brabant,,Belgium,32-0497-/-93.23.75,
241,BrewDog Ltd,AB43 8UE,Fraserburgh,,,United Kingdom,+44 1346 519 009,http://brewdog.com/
177,Brasserie De Saint Sylvestre,"121, rue de la Chapelle",St-Sylvestre-Cappel,,,France,33-03.28.40.15.49,http://www.brasserie-st-sylvestre.com/
178,Brasserie De Silenrieux,Rue de Noupr s/n,Cerfontaine-Silenrieux,Namur,,Belgium,32-071-63-32-01,
179,Brasserie de Silly,Rue Ville Basse 141,Silly,Hainaut,,Belgium,32-068-55-16-95,
180,Brasserie de Tahiti,BP 597,Tahiti,,,French Polynesia,689-467600,
181,Brasserie de Vervifontaine,Vervierfontaine 100,Jalhay-Vervifontaine,Lige,,Belgium,32-087-64-83-03,
182,Brasserie des Cimes,152 Avenue St Simond,Aix les Bains,,,France,33-04.79.88.16.80,
183,Brasserie des Franches-Montagnes,Chemin des Buissons 8,Saignelgier,,,Switzerland,41-32-951-26-26,
184,Brasserie des Gants,"rue du Castel, 19",Irchonwelz,Hainaut,,Belgium,32-068-28-79-36,
185,Brasserie des Vosges,680 rue de la Brasserie,Dommartin les Remiremont,,,France,33-03.29.22.11.36,
186,Brasserie du Benin,BP 896,Lom,,,Togo,228-215-062,
187,Brasserie du Bocq,Rue de la Brasserie 4,Purnode,Namur,,Belgium,32-083-61-07-80,
188,Brasserie Dubuisson,Chause de Mons 28,Pipaix,Hainaut,,Belgium,32-069-67-22-21,
189,Brasserie Dupont,Rue Basse 5,Tourpes,Hainaut,,Belgium,32-069-67-10-66,
190,Brasserie Duyck,"113, rte Nationale",Jenlain,,,France,33-03.27.49.70.03,
191,Brasserie Ellezelloise,Rue Guinaumont 75,Ellezelles,Hainaut,,Belgium,32-068-54-31-60,
192,Brasserie Fantme,Rue Pral 8,Soy,Luxembourg,,Belgium,32-(0)86-47-70-44,
193,Brasserie Grain D'Orge,,Ronchin,,,France,,
194,Brasserie La Binchoise,Rue Faubourg St Paul 38,Binche,Hainaut,,Belgium,32-(0)64-37-01-75,
195,Brasserie La Caracole,Cte Marie-Thrse 86,Falmignoul,Namur,,Belgium,32-082-74-40-80,
196,Brasserie La Choulette,16 rue des Ecoles,Hordain,,,France,33-03.27.35.72.44,
197,Brasserie Lefebvre,Chemin du Croly 52,Quenast,Brabant Wallon,,Belgium,32-067-67-07-66,
198,Brasserie McAuslan,5080 Rue St-Ambroise,Montreal,Quebec,H4C 2G,Canada,1-514-939-3060,http://www.mcauslan.com
199,Brasserie Pietra,Route de la Marana,Furiani,,,France,33-04.95.30.14.70,
200,Brasserie Thiriez,22 rue Wormhout,Esquelbecq,,,France,33-03.28.62.88.44,
201,Brasserie Val de Sambre,Rue Vandervelde 273,Goze,Hainaut,,Belgium,32-071-56-20-73,
202,Brasserie-Brouwerij Cantillon,Gheudestraat 56,Anderlecht,Brussel,,Belgium,32-(0)2-521-49-28,http://www.cantillon.be/
203,Brasseries Kronenbourg,68 route d'Oberhausbergen,Strasbourg,,,France,33-03.88.27.44.88,
204,Brauerei & Gasthof zur Krone,Brenplatz 7,Tettnang,Baden-Wrttemberg,,Germany,49-(0)7542-/-7452,
205,Brauerei Aying Franz Inselkammer KG,Zornedinger Strae 2,Aying,Bayern,,Germany,49-(0)8095-/-9065-0,
206,Brauerei Beck,Am Deich 18-19,Bremen,Bremen,,Germany,49-(0)421-/-50940,
207,Brauerei C. & A. Veltins GmbH & Co.,An der Streue,Meschede,Nordrhein-Westfalen,,Germany,49-(0)2934-/-959-0,
208,Brauerei Fssla,Obere Knigsstrae 19-21,Bamberg,Bayern,,Germany,49-(0)951-/-26516,
209,Brauerei Gbr. Maisel KG,Hindenburgstrasse 9,Bayreuth,,95445,Germany,+49 (0) 9 21/4 01-0,http://www.maisel.com/
210,Brauerei Grieskirchen AG,Stadtplatz 14,Grieskirchen,,,Austria,43-0-72-48/607-0,
211,Brauerei Gss,Brauhausgasse 1,Leoben-Gss,,,Austria,43-0-38-42/20-90-58-,
212,Brauerei Herrenhausen,Herrenhuser Strae 83-99,Hannover,Niedersachsen,,Germany,49-(0)511-/-7907-0,
213,Brauerei Hrle,Am Hopfengarten 5,Leutkirch im AllgÃƒÂ¤u,Baden-WÃƒÂ¼rttemberg,,Germany,49-(0)7561-/-9828-0,
214,Brauerei Hrlimann,Brandschenkestrasse 150,Zrich,,,Switzerland,41-01-/-288-26-26,
215,Brauerei im Fchschen,Ratinger Strasse 28,DÃƒÂ¼sseldorf,Nordrhein-Westfalen,,Germany,49-211-/-13747-0,
216,Brauerei Leibinger,Friedhofstrae 20-36,Ravensburg,Baden-Wrttemberg,,Germany,49-(0)751-/-22469,
217,Brauerei Locher AG,Alte Eggerstandenstrasse 1,Appenzell,,,Switzerland,41-071-/-787-13-18,
218,Brauerei Reissdorf,Emil-Hoffmann-Strae 4-10,Kln,Nordrhein-Westfalen,,Germany,49-(0)2236-/-9655-0,
219,Brauerei Schtzengarten,St. Jakobstrasse 37,Sankt-Gallen,,,Switzerland,41-071-/-243-43-43,
220,Brauerei Schumacher,Oststrae 123,Dsseldorf,Nordrhein-Westfalen,,Germany,49-(0)211-/-828902-0,
221,Brauerei Schwelm,Neumarkt 1,Schwelm,Nordrhein-Westfalen,,Germany,49-(0)2336-/-4908-0,
222,Brauerei Spezial,Obere Knigsstrae 10,Bamberg,Bayern,,Germany,49-(0)951-/-24304,
223,Brauerei und Altbierkche Pinkus Mller,Kreuzstrae 4-10,Mnster,Nordrhein-Westfalen,,Germany,49-(0)251-/-45151,http://www.pinkus-mueller.de/
224,Brauerei Wieselburg,,Wieselburg,,3250,Austria,+43-(0)7416-501-0,http://www.wieselburger.at
225,Brauereigasthof Adler,Ortsstrae 1,Herbertingen,Baden-Wrttemberg,,Germany,49-(0)7586-/-378,
226,Brauhaus am WaldschlÃƒÂ¶sschen,Am Brauhaus 8b,Dresden,Sachsen,1099,Germany,+49 351 - 652 39 00,http://www.waldschloesschen.de
227,Brauhaus Brew Hall,111 Main Street,Lucan,Minnesota,56255,United States,1-507-747-2796,http://www.braubrothersbrewing.com/
228,Brauhaus Faust,Hauptstrae 219,Miltenberg,Bayern,,Germany,49-(0)9371-/-9713-0,
229,Brauhaus Johann Albrecht - Dsseldorf,Niederkasseler Strae 104,Dsseldorf,Nordrhein-Westfalen,,Germany,49-(0)211-/-570129,
230,Brauhaus Johann Albrecht - Konstanz,Konradigasse 2,Konstanz,Baden-Wrttemberg,,Germany,49-(0)7531-/-25045,
231,Brauhaus Onuma,Onuma,Onuma,Hokkaido,,Japan,81-0138-67-2227,
232,Brauhaus Sion,Unter Taschenmacher 5-7,Kln,Nordrhein-Westfalen,,Germany,49-(0)221-/-2578540,
233,Brauhaus Sternen,Hohenzornstrasse 2,Frauenfeld,,,Switzerland,41-052-728-99-09,
234,Brausttte der Steirerbrau Aktiengesellschaft,Reiningshausstrae 1-7,Graz,,,Austria,43-0316/502-3545,
235,Breckenridge BBQ of Omaha,,Omaha,Nebraska,,United States,,
236,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado,80204,United States,303-623-2739,http://www.breckbrew.com/
238,Brennerei-Distillerie Radermacher,Spitalstrasse 50,Raeren,Lige,,Belgium,32-(0)87-85.82.32,
239,Brew Kettle Taproom & Smokehouse BOP,8377 Pearl Road,Strongsville,Ohio,44136,United States,1-440-239-8788,
242,Brewer's Art,1106 N. Charles St.,Baltimore,Maryland,21201,United States,410-547-6925,http://www.belgianbeer.com
243,Brewery at Martha's Vineyard,,Oak Bluffs,Massachusetts,,United States,,
244,Brewery Belle-Vue,Delaunoystraat 58/60,Molenbeek,Brussel,,Belgium,32-024-12-44-11,
245,Brewery Budweiser Budvar,,,Ceske Budejovice,,Czech Republic,,http://www.budvar.cz/
246,Brewery Corsendonk,Steenweg op Mol 118,Oud-Turnhout,Antwerpen,,Belgium,,
247,Brewery Creek Brewing,23 Commerce Street,Mineral Point,Wisconsin,53565,United States,1-608-987-3298,http://www.brewerycreek.com/
248,Brewery De Troch,Langestraat 20,Ternat,Vlaams Brabant,,Belgium,32-02-582-10-27,
249,Brewery Ommegang,656 County Highway 33,Cooperstown,New York,13326,United States,1-800-544-1809,
250,Brewmasters Restaurant and Brewery South,,Kenosha,Wisconsin,,United States,,
251,Brewpub-on-the-Green,,Fremont,California,,United States,,
252,Breznak,,,,,Czech Republic,,http://drinksunion.qbizm.cz/de/pages/vyrobky_p_breznak.htm
253,Brick Brewing,1 Old Brewery Lane,Formosa,Ontario,0,Canada,1-519-367-2995,
254,Bricktown Brewery,299 Main Street,Dubuque,Iowa,52001,United States,1-563-582-0608,
